Liga,Zespół_1,Zespół_2,1,0,2,10,02,12,Data,Wygrany,Bramki_1,Bramki_2
1-francja,Strasbourg,Lens,3.25,3.4,2.3,1.66,1.37,1.35,29.09. 21:00,2.0,0.0,1.0
1-hiszpania,Barcelona,FC Sevilla,1.37,5.4,7.8,1.09,3.2,1.17,29.09. 21:00,1.0,1.0,0.0
1-portugalia,SL Benfica,FC Porto,2.02,3.6,3.5,1.29,1.77,1.28,29.09. 21:15,1.0,1.0,0.0
1-niemcy,Darmstadt 98,Werder B.,3.1,3.8,2.3,1.71,1.43,1.32,01.10. 15:30,1.0,4.0,2.0
1-niemcy,Freiburg,Augsburg,1.77,4.1,4.4,1.24,2.12,1.26,01.10. 17:30,1.0,2.0,0.0
1-belgia,Genk,Westerlo,1.39,5.2,7.0,1.1,2.98,1.16,01.10. 16:00,0.0,3.0,3.0
1-belgia,Club Brugge,Truidense,1.38,5.2,7.6,1.09,3.1,1.17,01.10. 18:30,0.0,1.0,1.0
1-belgia,Molenbeek,Gent,5.0,4.2,1.63,2.28,1.17,1.23,01.10. 19:15,0.0,1.0,1.0
1-francja,Lorient,Montpellier,3.15,3.6,2.31,1.68,1.41,1.33,01.10. 17:05,2.0,0.0,3.0
1-francja,Rennes,Nantes,1.5,4.7,6.2,1.14,2.67,1.21,01.10. 20:45,1.0,3.0,1.0
1-hiszpania,Alaves,Osasuna,2.55,3.05,3.2,1.39,1.56,1.42,01.10. 16:15,2.0,0.0,2.0
1-hiszpania,Atl. Madryt,Cadiz,1.35,4.9,10.0,1.06,3.3,1.19,01.10. 21:00,1.0,3.0,2.0
1-hiszpania,Betis,Valencia,2.2,3.3,3.7,1.32,1.74,1.38,01.10. 21:00,1.0,3.0,0.0
1-holandia,AZ Alkmaar,Sittard,1.36,5.2,8.2,1.08,3.2,1.17,01.10. 16:45,1.0,4.0,0.0
1-portugalia,FC Arouca,Chaves,1.97,3.55,3.85,1.27,1.85,1.3,01.10. 16:30,2.0,0.0,2.0
1-portugalia,Vitoria Guimarares,Estoril Praia,1.85,3.65,4.3,1.23,1.97,1.29,01.10. 19:00,1.0,3.0,2.0
1-portugalia,Rio Ave,Moreirense FC,2.5,3.25,2.95,1.41,1.55,1.35,01.10. 21:30,2.0,0.0,4.0
1-anglia,Fulham,Chelsea,3.45,3.5,2.2,1.74,1.35,1.34,02.10. 21:00,2.0,0.0,2.0
1-hiszpania,UD L.Palmas,Celta Vigo,2.85,3.2,2.75,1.51,1.48,1.4,02.10. 21:00,1.0,2.0,1.0
1-portugalia,Gil Vicente FC,Casa Pia,2.41,3.3,3.0,1.39,1.57,1.34,02.10. 21:15,1.0,2.0,0.0
1-anglia,Luton Town,Burnley,2.85,3.25,2.65,1.52,1.46,1.37,03.10. 20:30,2.0,1.0,2.0
liga-mistrzow,Un. Berlin,SC Braga,1.94,3.7,3.95,1.27,1.91,1.3,03.10. 18:45,2.0,2.0,3.0
liga-mistrzow,Salzburg,Real Sociedad,2.95,3.4,2.45,1.58,1.42,1.34,03.10. 18:45,2.0,0.0,2.0
liga-mistrzow,Lens,Arsenal,5.2,4.2,1.63,2.32,1.17,1.24,03.10. 21:00,1.0,2.0,1.0
liga-mistrzow,Inter M.,SL Benfica,1.77,3.95,4.5,1.22,2.1,1.27,03.10. 21:00,1.0,1.0,0.0
liga-mistrzow,PSV Eindhoven,FC Sevilla,2.0,3.65,3.75,1.29,1.85,1.3,03.10. 21:00,0.0,2.0,2.0
